Accounting,American Accounting Association,,http://aaahq.org,,
Accounting,Rutgers Accounting Web,,http://accounting.rutgers.edu,,
Accounting,AICPA,,http://www.aicpa.org,,
Accounting,FASB,Includes full-text of FASB statements and interpretations,http://www.fasb.org,"The SSRN eLibrary consists of two parts: an Abstract Database containing abstracts on 436,900+ working papers and an Electronic Paper Collection with 351,300+ downloadable full-text documents. Also includes papers from Fee Based Partner Publications.",#NAME?
Accounting,IFRS Foundation & the IASB,,http://www.ifrs.org/,,
Accounting,Country and Regional Accounting Standards Update,,http://www.iasplus.com/en/jurisdictions,,
Accounting,IRS Tax Statistics,,http://www.irs.gov/uac/Tax-Stats-2,,
Accounting,Accounting Research Network,SSRN,http://www.ssrn.com/arn,,
Accounting:Taxation,Tax and Accounting Sites Directory,(Academic Focus),http://www.taxsites.com,,
Advertising,AdAge China,,http://adage.com/china,,
Advertising,Superbowl Ads,,http://superbowl-ads.com,,
Advertising,American Advertising Federation,,http://www.aaf.org,,
Advertising,Advertising Age,,http://www.adage.com,,
Advertising,Adforum.com,"A portal to the advertising, marketing and communications industry, with direct links to 19,171 agencies in 137 countries",http://www.adforum.com,,
Advertising,Interactive Advertising Bureau,Includes guidelines and best practices,http://www.iab.net,,
Advertising,Gallery of Graphic Design,"A collection of images of advertisements placed in popular consumer magazines, 1932-1969",http://graphic-design.tjs-labs.com,,
Advertising,Legacy Tobacco Documents Library,,http://legacy.library.ucsf.edu,,
Advertising,Ad*Access,"Images and accompanying information for over 7,000 advertisements printed in U.S. and Canadian newspapers, 1911-1955",http://scriptorium.lib.duke.edu/adaccess,,
Advertising,The Emergence of Advertising in America,"Over 9,000 images and information covering 1850-1920",http://scriptorium.lib.duke.edu/eaa,,
Advertising,Adflip.com,"An archive of classic print ads, 1940-2001",http://www.adflip.com,,
Advertising,The Advertising Archives,"A taste of old adverts, nostalgic illustrations, classic posters and vintage magazines, from the start of the Victorian era to early years of the 21st century",http://www.advertisingarchives.co.uk/gallery_indexpage.php,,
Agriculture,"USDA Economics, Statistics and Market Information System (ESMIS)",,http://usda.mannlib.cornell.edu/MannUsda/homepage.do,,
Agriculture,National Agricultural Library,,http://www.nal.usda.gov/,,
Agriculture,National Agricultural Statistics Service,U.S. Dept. of Agriculture,http://www.nass.usda.gov/,,
Agriculture,Agriculture Network Info Center,,http://www.agnic.org/,,
Agriculture,Eldis: Agricultural and Food,,http://www.eldis.org/go/topics/resource-guides/agriculture-and-food,,
Agriculture,USDA Economic Research Service,,http://www.ers.usda.gov/,,
Agriculture,UN Food and Agriculture Site,,http://www.fao.org/,,
Agriculture,FASonline,,http://www.fas.usda.gov/,,
Apparel,U.S. Department of Commerce Office of Textiles and Apparel,,http://otexa.ita.doc.gov,,
Apparel,Infomat.com,,http://www.infomat.com,,
Apparel,The New York Times: Apparel & Accessories,,http://markets.on.nytimes.com/research/markets/usmarkets/industry.asp,,
Associations,Professional Associations,,http://dir.yahoo.com/business_and_economy/organizations/professional,,
Associations,NIRA's World Directory of Think Tanks,,http://www.nira.or.jp/english/nwdtt/nwdtt.html,,
Associations,American Society of Association Executives,,http://www.asaenet.org,,
Associations:National Economies,Union of International Associations: Link Directory,,http://www.uia.org/links,,
Automotive,Ward's Auto: Data Center,,http://wardsauto.com/data-center,,
Automotive,European Automobile Manufacturers Association: Statistics,,http://www.acea.be/collection/statistics,,
Automotive,Auto News: Data Center,,http://www.autonews.com/section/datacenter,,
Automotive,Edmonds - True Cost to Own Calculator,,http://www.edmunds.com/tco.html,,
Automotive,OICA,Organization of Motor Vehicle Manufacturers ,http://www.oica.net,,
Banking,FRASER,Federal Reserve Archival System for Economic Research,http://fraser.stlouisfed.org/topics/?tid=21,,
Banking,American Bankers Association,,http://www.aba.com,,
Banking,Bank for International Settlements: Statistics,,http://www.bis.org/statistics,,
Banking,Online Credit Union Analytics System,,http://www.cudata.com/page.php?id=8,,
Banking,Credit Union Times,,http://www.cutimes.com,,
Banking,FannieMae,,http://www.fanniemae.com,,
Banking,FDIC,,http://www.fdic.gov/quicklinks/analysts.html,,
Banking,Federal Reserve Board,,http://www.federalreserve.gov,,
Banking,National Information Center (NIC),,http://www.ffiec.gov/nicpubweb/nicweb/nichome.aspx,,
Banking,Treasury Bulletin,,http://www.fms.treas.gov/bulletin,,
Banking,FreddieMac,,http://www.freddiemac.com,,
Banking,GinnieMae,,http://www.ginniemae.gov,,
Banking,National Association of Mortgage Brokers,,http://www.namb.org,,
Banking,National Credit Union Administration: Credit Union Data and Applications,,http://www.ncua.gov/DataApps/Pages/default.aspx,,
Banking,World Council of Credit Unions,,http://www.woccu.org,,
Banking,World Bank,Stanford users: use World Bank e-Library http://www.gsb.stanford.edu/library/articles/databases/links/world_bank.html,http://www.worldbank.org,,
Banking,Banking Competitive Analysis,,http://cassidi.stlouisfed.org,,
Banking,Central Bank Websites,,http://www.bis.org/cbanks.htm,,
Banking:Financial Markets,SIFMA: Statistics,,http://www.sifma.org/research/statistics.aspx,,
Banking:Statistics,Central Banks on the WWW,,http://www.bis.org/cbanks.htm,,
Bankruptcy,BankruptcyData.com,,http://bankruptcydata.com,,
Bankruptcy,Web BRD: A Window on the World of Big-Case Bankruptcy,,http://lopucki.law.ucla.edu,,
Bankruptcy,American Bankruptcy Institute,,http://www.abiworld.org,,
Bankruptcy,U.S. Trustee Program: Bankruptcy Data & Statistics ,, http://www.justice.gov/ust/eo/public_affairs/data_files ,,
Bankruptcy,U.S. Courts: Bankruptcy Statistics,,http://www.uscourts.gov/Statistics/BankruptcyStatistics.aspx,,
Beverages,American Beverage Association,,http://www.ameribev.org/,,
Beverages,Beer Institute (U.S.),,http://www.beerinstitute.org,,
Beverages,BEVNET,,http://www.bevnet.com,,
Beverages,Brewers Association,,http://www.brewersassociation.org,,
Beverages,Breweryage.com,,http://www.breweryage.com,,
Beverages,International Coffee Organization: Statistics,,http://www.ico.org/coffee_prices.asp,,
Beverages,Sonoma County Wine Library,,http://www.sonomalibrary.org/wine,,
Beverages,Wine Institute,,http://www.wineinstitute.org,,
Beverages,Winery Exchange,,http://www.wineryexchange.com,,
Biographies,The Hall of Business ,Academy of Achievement,http://www.achievement.org/autodoc/halls/bus,,
Biographies,American National Business Hall of Fame,,http://www.anbhf.org,,
Biographies,Twentieth Century Great American Business Leaders,Harvard Business School,http://www.hbs.edu/leadership/database,,
Biographies,Business Leaders ,content from Columbia Electronic Encyclopedia,http://www.infoplease.com/encyclopedia/1busbio.html,,
Biographies,Economics: Biographies ,content from Columbia Electronic Encyclopedia,http://www.infoplease.com/encyclopedia/1econbio.html,,
Biographies,Labor: Biographies ,content from Columbia Electronic Encyclopedia,http://www.infoplease.com/encyclopedia/1laborbio.html,,
Biographies,Business Biographies,online version of 2005 print publication by Gale Rsearch,http://www.referenceforbusiness.com/biography,,
Biotechnology,Biotechology Industry Organization,,http://www.bio.org,,
Biotechnology,BioChipNet: The Informational Web site on BioChip Technologies,,http://www.biochipnet.de,,
Biotechnology,eBioNews,,http://www.ebionews.com,,
Biotechnology,LifeSciencesWorld,,http://www.lifesciencesworld.com,,
Biotechnology,Signals Magazine,,http://www.signalsmag.com,,
Biotechnology:Jobs,BioSpace,,http://www.biospace.com,,
Business Ethics,Ethisphere: The World’s Most Ethical Companies,,http://ethisphere.com/worlds-most-ethical/,,
