5,Behavioral Measurement For Marketing Models:  Estimating The Effects Of Advertising Repetition For Media Planning,"As management science models are developed in marketing, they make demands for more sophisticated inputs from the behavioral sciences. This is particularly true in the area of advertising media models. A continuing behavioral research program to develop estimates of repetition response functions for media models is reviewed. The program finds functions which differ importantly in level, slope and shape depending on the measure of response, market segment, product type, brand, advertising format, advertising illustration, advertise- ment color, media scheduling, ad appeal, and competitive situation. It is argued that such response function variations, found in both laboratory and field research, should be represented in media models. To illustrate this point, the results of a study of repetitive effects of one-sided (supportive) and two-sided (refutational) competitive advertisements are applied to runs of the MEDIAC planning system. Inclusion of the behavioral data produces favorable changes in MEDIAC output in terms of schedules and schedule results. The potential of further interaction between behavioral data and management science models is discussed.",1971,mlray,Alan,Sawyer
7,Interperiod Tax Allocation And The Behavior Of Security Prices,"The measurement of earnings has been of continuing concern to accountants and to users of accounting data. Because an unlimited number of possible reporting methods exists, and because the collection, storage, reporting and analysis of data are not costless activities, controversies have arisen concerning the relative merit of alternative income measurement rules. The relationship between measured earnings and security price be- havior is of special interest to such issues for several reasons: (1) If one is willing to accept the notion that securities' markets are efficient and hence provide unbiased assessments of ""true"" wealth changes of the firm, security price behavior offers a normative basis for evaluating measured earnings and alternative methods of income measurement. More will be said about this later. (2) Even if one does not assume an efficient market exists, the relationship between earnings and security prices can still provide valuable insight. Such research can indicate in what ways, if any, measured earnings affect decision makers' behavior as reflected in security price changes. Such positive knowledge constitutes a prerequisite for the development of any normative scheme of reporting rules (e.g., APB opinions). A further implication of rejecting the efficient market viewpoint is the possibility that abnormal returns can be obtained from a knowledge of re- lationships of earnings and security prices, although the authors do not personally subscribe to this view. I_x000B_1 In fact, evidence will be offered later in the paper that lends further support to the efficient market hypothesis. _x000B_",1971,fbeaver,Roland,Dukes
12,Theories Of Attitude Structure And Change,"The study of attitudes is well entrenched in marketing theory and practice. The acceptance by theorists is evident in the pivotal role that the concept of attitude plays in the major descriptive models of consumer behavior (Engel, Kollat and Blackwell, 1968; Howard and Sheth, 1969; Nicosia, 1966). Practitioners have tended to take a more limited view of attitude as an easily measured construct they can use to understand their market, and perhaps to evaluate the effect of a persuasive communication. In reality, most practitioners are inveterate theorists, constantly invoking experimental theories of attitude change to predict changes in purchasing or usage behavior as a consequence of alternative strategies for changing attitudes. The necessity for such theories can be illustrated by the following problems:  (a) A farm equipment manufacturer in a developing country wants prospective distributors to adopt a new scheme for financing inventories. First he has to change their presently negative attitudes towards investing in inventories; but how? (b) The makers of low pollution emmitant and low lead gasolines wish to associate their product with pollution abatement in a positive manner. What appeals should they use?  (c) Birth control pill manufacturers need to predict the response of pill users to negative information from a highly credible source, such as a senate subcommittee.   What proportion of the users are, susceptible to change because of lack of conviction and ambivalent attitude? (d) Consumers have a strong aversion to ""reprocessed"" forms of materials such as textiles and plastics. _x000B_",1971,,George,Day
13,Prospects For Management-Behavioral Science Interaction In Media Modeling,Abstract not available.,1971,mlray,,
112,The Design And Operation Of The Livingston Health Services Data System,Abstract not available.,1972,,John | John,Hershey | Moore
133,A Two Asset Deterministic Cash Balance Problem,"This paper considers a two-asset cash management problem in which  transfers between the cash account and a portfolio of earning assets are used to control a cash account subject to a sequence of deterministic  inflows and outflows. Transaction, holding and penalty costs are assumed to be concave and nondecreasing. A network approach is used to derive qualitative results which reduce  the calculations required to find an optimal solution. For the special case of no backlogging, proportional holdings cost and transactions cost with a ""lumpy"" and proportional component, additional results including a  planning horizon theorem are established. A numerical example is solved.",1973,,Joseph | Gary,Blackburn | Eppen
172,The Present and Potential Linkages Between the Microtheoretical Notions of Behavioral Science and the Problems of Advertising: A Proposal for a Research System,Abstract not available.,1973,mlray,,
177,Dynamic Correction in Marketing Planning Models,Abstract not available.,1975,,Charles,Weinberg
204,"The Dynamic Organization: Structure, Technology, and Environment",Abstract not available.,1974,,Reuben | William,Harris | Ouchi
236,Risk Evaluation of Capital Investments: A Survey,This is a survey of techniques for evaluation of risk in  individual capital investment projects. The paper identifies  the four types of relationships affecting project uncertainty;  1)Accounting-type relationships defining cash flow; 2)Statistical  relationships among variables in a given time period;   3)Autocorrelation relationships among cash flows over time;  and 4)Uncertainty about project life. Two types of decisions  also can affect project profitability and uncertainty:   1)Strategy decisions; and   2) Abandonment decisions. Four types of models for risk evaluation are identified:   1)Certainty model; 2)Hillier  model; 3)Monte Carlo model; and 4)Decision Tree model. These  four types of models are compared and evaluated in terms of how easily they can incorporate the relationships and decisions mentioned above. Computational issues are also discussed. Suggestions are made for further research.,1974,bonini,,
